название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
АЛД.ВОДА ЕСС.ЦЕЛ.МИН,222,7392,Вода,,Ессентуки,,,фасовка,Ессентуки вода вес упаковки грамм купить,Продторг
МОЛОКО БЕЖИН ЛУГ1400,101,13186,Молоко,,Бежин луг,1.4л,,жирность,Бежин луг молоко жирность процент,Глобус
МАСЛО ВКУСНОТ СЛ340Г,92,35732,Масло сливочное,,Вкуснотеево,0.34кг,,жирность,Вкуснотеево масло сливочное жирность процент,Глобус
СЫРОК СВИТ.КАКАО 50Г,87,5039,Сырки и творожные десерты,,Свитлогорье,0.05кг,,жирность,Свитлогорье сырки и творожные десерты жирность процент,Глобус
"ПИВО КЕРСАРИ СВ 0,45",77,5954,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВО КЕРСАРИ СВ 0,45"" какая марка",Глобус
СВЕТ.МОР.ПЛ.В.НАП.ЧЕ,73,2584,Заморозка,,Свитлогорье,,,фасовка,Свитлогорье заморозка вес упаковки грамм купить,Продторг
МУКА ФРАНЦУЗ ШТ 2КГ,62,24214,Мука,,,2кг,,бренд,"мука ""МУКА ФРАНЦУЗ ШТ 2КГ"" какая марка",Глобус
"МАСЛО ЛГ ПОДС ВЫС0,8",62,13256,Масло растительное,,,,,"бренд, фасовка","масло растительное ""МАСЛО ЛГ ПОДС ВЫС0,8"" производитель вес упаковки",Глобус
"КОТЛЕТЫ ""ДОМАШНИЕ"" ЖАРЕНЫЕ",53,7689,Полуфабрикаты,,,,,"бренд, фасовка","полуфабрикаты ""КОТЛЕТЫ ""ДОМАШНИЕ"" ЖАРЕНЫЕ"" производитель вес упаковки",Глобус
"МОЛОКО ДВД ПАСТ 1,9Л",48,10571,Молоко,,Домик в деревне,1.9л,,жирность,Домик в деревне молоко жирность процент,Глобус
СОЛЬ ПОЛЕСЬЕ 1КГ,41,12079,Сахар и соль,,,1кг,,бренд,"сахар и соль ""СОЛЬ ПОЛЕСЬЕ 1КГ"" какая марка",Глобус
СОЛЬ ВАШ ВЫБОР 1КГ,38,3203,Сахар и соль,,,1кг,,бренд,"сахар и соль ""СОЛЬ ВАШ ВЫБОР 1КГ"" какая марка",Глобус
МОЛОК.МАТВ.ОТБ.2КГ,38,9638,Творог,,Матвеевский,2кг,,жирность,Матвеевский творог жирность процент,Глобус
"ВИНО БЕЙРАЛ КР 1,5Л",38,37531,Вино,,,1.5л,,"бренд, жирность","вино ""ВИНО БЕЙРАЛ КР 1,5Л"" какая марка",Глобус
САЛАТ АЙСБЕРГ,36,4443,Овощи,,,,,"бренд, фасовка","овощи ""САЛАТ АЙСБЕРГ"" производитель вес упаковки",Глобус
СМЕТАНА 25%300Г,36,4420,Сметана,,,0.3кг,25%,бренд,"сметана 25% ""СМЕТАНА 25%300Г"" какая марка",Глобус
СОЛЬ ЭКСТРА 1КГ,35,12282,Сахар и соль,,,1кг,,бренд,"сахар и соль ""СОЛЬ ЭКСТРА 1КГ"" какая марка",Глобус
СВЕТ. МАССА ТВОР.С И,34,2716,Творог,,Свитлогорье,,,"фасовка, жирность",Свитлогорье творог вес упаковки грамм купить,Продторг
"СВЕТ.МОЛОКО ЦЕЛ.3,3-",33,2273,Молоко,,Свитлогорье,,,"фасовка, жирность",Свитлогорье молоко вес упаковки грамм купить,Продторг
ВОДА БОРЖОМИ МИН.ГИД,32,4128,Вода,,Боржоми,,,фасовка,Боржоми вода вес упаковки грамм купить,Продторг
"БУЛОЧКА ""АРБАТСКАЯ"" ГЛОБУС",31,357,Выпечка и сладкое,,Глобус,,,фасовка,Глобус выпечка и сладкое вес упаковки грамм купить,Глобус
УЛИТКА С НЕЖНЫМ ЗАВАРНЫМ КРЕМОМ И ИЗЮМОМ МЪ ПЕКА,30,4816,Сухофрукты и орехи,,Мясновъ,,,фасовка,Мясновъ сухофрукты и орехи вес упаковки грамм купить,Мясновъ
МУКА БЕЛО-НЕЖНАЯ 2КГ,28,8545,Мука,,,2кг,,бренд,"мука ""МУКА БЕЛО-НЕЖНАЯ 2КГ"" какая марка",Глобус
СВЕТ.МОР.ПЛ.ВАН.ВЗБ.,28,1006,Заморозка,,Свитлогорье,,,фасовка,Свитлогорье заморозка вес упаковки грамм купить,Продторг
СОУС КЕТЧУП (3Г),28,25,Соусы и приправы,,,0.003кг,,бренд,"соусы и приправы ""СОУС КЕТЧУП (3Г)"" какая марка",Глобус
АРЗА ВОДА МИН.ГАЗ.ПЭТ 0.5Л,28,812,Вода,,,0.5л,,бренд,"вода ""АРЗА ВОДА МИН.ГАЗ.ПЭТ 0.5Л"" какая марка",Продторг
ЛАЙМ,26,1858,Фрукты и ягоды,,,,,"бренд, фасовка","фрукты и ягоды ""ЛАЙМ"" производитель вес упаковки",Глобус
"ВИНО ТЕРРАШ РЕЗ 0,75",26,15389,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО ТЕРРАШ РЕЗ 0,75"" какая марка",Глобус
МУКА ПШ ХЛЕБ В/С2КГ,25,4858,Хлеб,,,2кг,,бренд,"хлеб ""МУКА ПШ ХЛЕБ В/С2КГ"" какая марка",Глобус
R.SP.ШОК.ЦЕЛ.ЛЕС.ОРЕ,23,6546,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""R.SP.ШОК.ЦЕЛ.ЛЕС.ОРЕ"" производитель вес упаковки",Продторг
"МОЛОКО ""ВМ""ОТБ 930МЛ",22,4005,Молоко,,,0.93л,,"бренд, жирность","молоко ""МОЛОКО ""ВМ""ОТБ 930МЛ"" какая марка",Глобус
"ПИВО <НЕМЕЦКОЕ> НЕФИЛЬТРОВАННОЕ,ШТ",21,2366,Пиво,,,,,"бренд, фасовка, жирность","пиво ""ПИВО <НЕМЕЦКОЕ> НЕФИЛЬТРОВАННОЕ,ШТ"" производитель вес упаковки",ВкусВилл
ГЕРКУЛЕС РУСС ПР 500,21,2585,Крупы и макароны,,,0.5кг,,бренд,"крупы и макароны ""ГЕРКУЛЕС РУСС ПР 500"" какая марка",Глобус
СВЕТ.МОРОЖЕНОЕ ПЛОМБ,21,1839,Заморозка,,Свитлогорье,,,фасовка,Свитлогорье заморозка вес упаковки грамм купить,Продторг
КОРДОН БЛЮ ВЕТ/СЫР,21,8688,Полуфабрикаты,,,,,"бренд, фасовка","полуфабрикаты ""КОРДОН БЛЮ ВЕТ/СЫР"" производитель вес упаковки",Глобус
САХАР-ПЕСОК 10КГ,20,9539,Сахар и соль,,,10кг,,бренд,"сахар и соль ""САХАР-ПЕСОК 10КГ"" какая марка",Глобус
БАЗИЛИК ЗЕЛЕНЫЙ ШТ,20,2366,Овощи,,,,,"бренд, фасовка","овощи ""БАЗИЛИК ЗЕЛЕНЫЙ ШТ"" производитель вес упаковки",Глобус
ПЕЛЬМ.СЛИВОЧНЫЕ 800Г,20,8121,Полуфабрикаты,,,0.8кг,,бренд,"полуфабрикаты ""ПЕЛЬМ.СЛИВОЧНЫЕ 800Г"" какая марка",Глобус
РЕДИС С ЗЕЛЕНЬЮ ШТ,19,2384,Овощи,,,,,"бренд, фасовка","овощи ""РЕДИС С ЗЕЛЕНЬЮ ШТ"" производитель вес упаковки",Глобус
САХАР-ПЕСОК 5КГ,19,5506,Сахар и соль,,,5кг,,бренд,"сахар и соль ""САХАР-ПЕСОК 5КГ"" какая марка",Глобус
АЛД.ВОДА ЕСС.ЦЕЛ.МИН.ГАЗ.0.5,19,608,Вода,,Ессентуки,,,фасовка,Ессентуки вода вес упаковки грамм купить,Продторг
DEL.МАРМЕЛАД АССОРТИ,19,3356,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""DEL.МАРМЕЛАД АССОРТИ"" производитель вес упаковки",Продторг
СВЕТ.МОР.АР.ВАН/КАР.,19,1121,Заморозка,,Свитлогорье,,,фасовка,Свитлогорье заморозка вес упаковки грамм купить,Продторг
"КЕФИР 3,2% В БУТЫЛКЕ,ШТ",18,1339,Кефир и кисломолочное,,,,"3,2%","бренд, фасовка","кефир и кисломолочное 3,2% ""КЕФИР 3,2% В БУТЫЛКЕ,ШТ"" производитель вес упаковки",ВкусВилл
"МОЛОКО 3,2% В БУТЫЛКЕ,ШТ",18,2177,Молоко,,,,"3,2%","бренд, фасовка","молоко 3,2% ""МОЛОКО 3,2% В БУТЫЛКЕ,ШТ"" производитель вес упаковки",ВкусВилл
БЕКОН С/К 200Г,18,6166,Колбаса и сосиски,,,0.2кг,,"бренд, жирность","колбаса и сосиски ""БЕКОН С/К 200Г"" какая марка",Глобус
КОРМ ПОПУГ500Г ТРИОЛ,18,2591,Зоотовары,,,0.5кг,,бренд,"зоотовары ""КОРМ ПОПУГ500Г ТРИОЛ"" какая марка",Глобус
"ПИВО ШПАТЕН СТ 0,45",18,1932,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВО ШПАТЕН СТ 0,45"" какая марка",Глобус
СЫРОК В ТЕМ.ШОК50Г,18,1068,Сырки и творожные десерты,,,0.05кг,,"бренд, жирность","сырки и творожные десерты ""СЫРОК В ТЕМ.ШОК50Г"" какая марка",Глобус
"МОЛОКО КОЗЬЕ, 450 МЛ,ШТ",17,6419,Молоко,,,0.45л,,"бренд, жирность","молоко ""МОЛОКО КОЗЬЕ, 450 МЛ,ШТ"" какая марка",ВкусВилл
БУМ.ПОЛОТЕНЦА 2СЛ 4Р,17,2797,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БУМ.ПОЛОТЕНЦА 2СЛ 4Р"" производитель вес упаковки",Глобус
"МОЛОКО МУ ЦЕЛ. 1,25Л",17,2517,Молоко,,Му-у,1.25л,,жирность,Му-у молоко жирность процент,Глобус
ТВОРОГ ФРУК АГУША МА,17,2058,Творог,,Агуша,,,"фасовка, жирность",Агуша творог вес упаковки грамм купить,Глобус
ВИН АНЖУС П/СХ РОЗ,17,10272,Вино,,,,,"бренд, фасовка, жирность","вино ""ВИН АНЖУС П/СХ РОЗ"" производитель вес упаковки",Глобус
АРЗА ВОДА МИН.ГАЗ.ПЭ,17,493,Вода,,,,,"бренд, фасовка","вода ""АРЗА ВОДА МИН.ГАЗ.ПЭ"" производитель вес упаковки",Продторг
МАРМЕЛАД ЦИТРУСОВЫЙ МИКС МЯСНОВЪ БУФЕТ 300Г*12,16,2880,Выпечка и сладкое,,,0.3кг,,бренд,"выпечка и сладкое ""МАРМЕЛАД ЦИТРУСОВЫЙ МИКС МЯСНОВЪ БУФЕТ 300Г*12"" какая марка",Мясновъ
ТВ/ПРОД.АГУША ЧЕРНИК,16,1456,Фрукты и ягоды,,Агуша,,,фасовка,Агуша фрукты и ягоды вес упаковки грамм купить,Глобус
БУМ ПОЛОТЕНЦА 3СЛ 4Р,16,3680,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БУМ ПОЛОТЕНЦА 3СЛ 4Р"" производитель вес упаковки",Глобус
МОРОЖ.ЩЕРБ ПЛ/ЯГ 80Г,16,624,Заморозка,,,0.08кг,,бренд,"заморозка ""МОРОЖ.ЩЕРБ ПЛ/ЯГ 80Г"" какая марка",Глобус
СЫР ЧЕЧИЛ ЧИЗОЛ.150Г,16,3234,Сыр,,Чизолини,0.15кг,,жирность,Чизолини сыр жирность процент,Глобус
САХАР-ПЕСОК 1КГ,15,8136,Сахар и соль,,,1кг,,бренд,"сахар и соль ""САХАР-ПЕСОК 1КГ"" какая марка",Глобус
"МАСЛО СЛИВ 82,5%400Г",15,7268,Масло сливочное,,,0.4кг,"82,5%",бренд,"масло сливочное 82,5% ""МАСЛО СЛИВ 82,5%400Г"" какая марка",Глобус
МАГНАТ МОР.МИНД.ВАН.,15,1048,Заморозка,,,,,"бренд, фасовка","заморозка ""МАГНАТ МОР.МИНД.ВАН."" производитель вес упаковки",Продторг
ПИВО ШПАТЕН МЮНХЕН СТ/Б 0.45Л,15,1620,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВО ШПАТЕН МЮНХЕН СТ/Б 0.45Л"" какая марка","Пятёрочка, Перекрёсток"
